hh_id,share_energy,share_food,share_goods,share_services
41,0.22428005566855796,0.14431003104592657,0.2478321378867359,0.3835777753987796
42,0.17284829078834238,0.06567049126864123,0.5183966319784162,0.2430845859646002
43,0.13071211962773188,0.10336714420161038,0.26717557251908397,0.4726027397260274
44,0.11179429849077697,0.12446431898639836,0.39966461710452766,0.364076765418297
45,0.3802924026028902,0.10622834446040734,0.40268739964506045,0.11079185329164201
46,0.29888983774551664,0.15250498149729577,0.23014517506404783,0.31846000569313976
47,0.03612343895138817,0.0888636598204149,0.11482093095262669,0.7601919702755703
48,0.05429045392851757,0.24883124717237218,0.23752073593726436,0.20298597496606846
49,0.009810654370646522,0.14352987344255863,0.11674678701069362,0.5336995977631708
50,0.08310957678046285,0.14767932489451477,0.3714358777649917,0.1420534458509142
51,0.2616147947677041,0.13112313937753722,0.24005412719891744,0.3672079386558412
52,0.1750901583651283,0.057492290806460046,0.3636126064914023,0.33847279569330474
53,0.15083831293148459,0.08339618263038812,0.39760399141381914,0.2956430933457098
54,0.06260434056761269,0.2209933222036728,0.13564273789649417,0.16339732888146913
55,0.21340162185232608,0.24178403755868544,0.39906103286384975,0.1457533077251387
56,0.25476952245526724,0.14711458703637872,0.17401350870956275,0.24635620334162817
57,0.09815242494226328,0.15727482678983834,0.27199769053117784,0.47257505773672054
58,0.22008010915973414,0.10709098111712663,0.20102117170650116,0.47180773801663806
59,0.06731740154830024,0.1440031414787389,0.3164478851116347,0.3600359026141591
60,0.212649197420771,0.06746467279462204,0.3432226642886541,0.3766634654959528
61,0.09714019272614237,0.16595430525334162,0.2465806652160398,0.4903248368044762
62,0.062340253101427594,0.07069384701701889,0.26849947010784864,0.5984664297737049
63,0.0734629294755877,0.12985985533453887,0.23621157323688968,0.5604656419529838
64,0.18462995108095312,0.08032191888906423,0.45822155594129715,0.2768265740886855
65,0.21693716856821468,0.13855857303551342,0.47107504419090473,0.1734292142053672
66,0.23327332733273326,0.09510951095109511,0.5802580258025802,0.09135913591359136
67,0.31691828420800383,0.11250898634076203,0.33914450035945365,0.23142822909178049
68,0.2647341228110283,0.07814000274335879,0.5443281057107585,0.11279776873485438
69,0.15150760029902816,0.1759282332419636,0.23493645651632195,0.4376277099426863
70,0.38822447102115915,0.16780128794848206,0.26044158233670656,0.18353265869365226
71,0.15804597701149425,0.19181034482758622,0.3148706896551724,0.3352729885057471
72,0.18535681186283595,0.15848007414272475,0.2618437551109415,0.38341601700921335
73,0.0755587369760598,0.19995227869243618,0.3295951642408335,0.3789867175693947
74,0.21227325357005017,0.10304901582400618,0.21970281744500192,0.44567734465457354
75,0.17211123110151189,0.10967872570194384,0.44360826133909287,0.26785232181425483
76,0.17843487127198573,0.2651032373183788,0.3925567167983686,0.16390517461126689
77,0.3163646821972965,0.13106536833888,0.23760220222687867,0.3149677472369448
78,0.02570127772066383,0.08195035981788809,0.4123219268615068,0.32581876927595826
79,0.12479812068712377,0.16862428424607254,0.26838937013654385,0.43672001174570546
80,0.12428535918468804,0.2493164305244842,0.36825751926423067,0.2581406910265971
81,0.1462491397109429,0.14521679284239505,0.28045423262216107,0.428079834824501
82,0.08935039845447959,0.3221444095629075,0.4757304998792562,0.11277469210335668
