hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD,expenditures,share_ely,Urban
130,74400,74400,395.4426,1,1,4,8,2290.710920902737,4200,0.056451612903225805,Urban
131,37992,37992,395.4426,1,1,3,6,1169.7404476738816,1800,0.047378395451674035,Urban
132,273084,91028,395.4426,1,3,5,9,8408.01748822316,14400,0.05273102781561717,Urban
133,105288,52644,395.4426,1,2,4,7,3241.7254225807446,2400,0.02279462046956918,Urban
134,701268,140253.6,937.6225,1,5,5,10,21591.428307521786,48000,0.06844744092130256,Urban
135,1017396,254349,937.6225,1,4,5,10,31324.73290433819,36000,0.03538445207175967,Urban
136,627732,209244,937.6225,1,3,5,10,19327.31919086179,44400,0.07073082143335054,Urban
137,947556,315852,937.6225,1,3,5,10,29174.420394716588,24000,0.025328318326304725,Urban
138,393468,196734,937.6225,1,2,5,10,12114.535546045137,21600,0.054896459178383,Urban
139,986160,246540,937.6225,1,4,5,10,30363.00378706241,69600,0.07057678267218301,Urban
140,268344,89448,937.6225,1,3,5,9,8262.077034391454,36000,0.13415615776764153,Urban
141,472980,236490,937.6225,1,2,5,10,14562.640475384096,42000,0.08879868070531524,Urban
142,362700,90675,937.6225,1,4,5,9,11167.215739400845,33600,0.09263854425144748,Urban
143,328272,109424,937.6225,1,3,5,9,10107.207734228272,12000,0.03655505190817371,Urban
144,620376,310188,937.6225,1,2,5,10,19100.834385295115,48000,0.07737243220240628,Urban
145,14784,14784,1782.4685,1,1,2,3,455.1864281535762,1800,0.12175324675324675,Urban
146,98976,98976,1782.4685,1,1,5,9,3047.3844638073833,2760,0.027885548011639186,Urban
147,121368,121368,1782.4685,1,1,5,10,3736.814557098433,3000,0.02471821237888076,Urban
148,89076,89076,1782.4685,1,1,5,9,2742.5721235259707,7200,0.08082985315910009,Urban
149,151740,75870,1782.4685,1,2,5,9,4671.94187013147,3600,0.02372479240806643,Urban
150,161556,53852,1782.4685,1,3,4,7,4974.167923889283,4800,0.029711059942063432,Urban
151,187512,62504,1782.4685,1,3,4,8,5773.330459681641,6000,0.031997952131063614,Urban
152,213948,106974,1782.4685,1,2,5,9,6587.271775608855,3600,0.016826518593303044,Urban
153,74076,74076,1782.4685,1,1,4,8,2280.7352443117093,4800,0.06479831524380367,Urban
154,123228,61614,1782.4685,1,2,4,8,3794.0823301210016,15600,0.1265946051222125,Urban
155,3939180,1313060,517.9248,1,3,5,10,121283.90652421565,14400,0.0036555831416690784,Urban
156,658188,109698,517.9248,1,6,5,9,20265.032790418427,27600,0.04193330780871119,Urban
157,131484,65742,517.9248,1,2,4,8,4048.277348440531,10800,0.08213927169845761,Urban
158,686736,171684,517.9248,1,4,5,10,21144.00073893901,16560,0.024114070035646886,Urban
159,462072,66010.28571428571,517.9248,1,7,4,8,14226.792696819484,16800,0.036357970186464444,Urban
160,159852,159852,517.9248,1,1,5,10,4921.703254410542,1800,0.011260415884693342,Urban
161,231744,77248,517.9248,1,3,5,9,7135.195049108655,20400,0.0880281690140845,Urban
162,308448,102816,517.9248,1,3,5,9,9496.844114658703,9600,0.03112356053532524,Urban
163,462240,154080,517.9248,1,3,5,10,14231.965269866683,66000,0.14278296988577363,Urban
164,111240,55620,517.9248,1,2,4,8,3424.982296252964,3600,0.032362459546925564,Urban
165,368340,184170,517.9248,1,2,5,10,11340.866405985407,8400,0.02280501710376283,Urban
166,187956,23494.5,979.8578,1,8,2,4,5787.000831306383,30000,0.15961182404392518,Urban
167,213408,71136,979.8578,1,3,4,8,6570.645647957142,2760,0.01293297345928925,Urban
168,160140,80070,979.8578,1,2,5,9,4930.570522491456,15600,0.09741476208317722,Urban
169,290052,48342,979.8578,1,6,4,7,8930.447365990332,21600,0.07446940548591287,Urban
170,37596,12532,979.8578,1,3,1,2,1157.5479540626252,6000,0.15959144589849983,Urban
171,111456,27864,979.8578,1,4,3,5,3431.632747313649,8400,0.07536606373815675,Urban
172,194184,32364,979.8578,1,6,3,6,5978.7555035561445,11400,0.05870720553701644,Urban
173,105180,35060,979.8578,1,3,3,6,3238.400197050402,18000,0.17113519680547631,Urban
174,48960,24480,979.8578,1,2,3,5,1507.4355737553497,6000,0.12254901960784313,Urban
175,121620,60810,979.8578,1,2,4,8,3744.5734166692328,6000,0.0493339911198816,Urban
176,68460,22820,979.8578,1,3,2,4,2107.82351673389,12000,0.175284837861525,Urban
177,36168,36168,979.8578,1,1,3,6,1113.5810831614274,3600,0.099535500995355,Urban
178,275328,91776,979.8578,1,3,5,9,8477.108285353614,12000,0.04358437935843794,Urban
179,624936,89276.57142857143,387.7796,1,7,5,9,19241.23279657625,36000,0.05760589884404163,Urban
180,285816,40830.857142857145,387.7796,1,7,3,6,8800.024631300224,24000,0.08397010664203544,Urban
181,149904,74952,387.7796,1,2,4,8,4615.413036115644,0,0,Urban
182,113544,37848,387.7796,1,3,3,6,3495.920440900274,6600,0.05812724582540689,Urban
183,234492,58623,387.7796,1,4,4,8,7219.803565380708,12000,0.05117445371270662,Urban
184,270288,45048,387.7796,1,6,4,7,8321.931093937621,9000,0.033297815663292485,Urban
185,428592,71432,387.7796,1,6,4,8,13195.972782413253,21600,0.05039758091611603,Urban
186,110856,27714,387.7796,1,4,3,5,3413.1592721450784,6000,0.054124269322364145,Urban
187,46632,46632,387.7796,1,1,4,7,1435.7584901012963,4800,0.1029336078229542,Urban
188,27828,27828,387.7796,1,1,3,5,856.7997783182981,9600,0.344976282880552,Urban
189,89496,44748,387.7796,1,2,4,7,2755.50355614397,30000,0.33521051220166265,Urban
190,36516,36516,1405.7959,1,1,3,6,1124.2956987591983,3600,0.09858692080184028,Urban
191,183636,91818,1405.7959,1,2,5,9,5653.991810092675,14400,0.07841599686336012,Urban
192,55128,27564,1405.7959,1,2,3,5,1697.3428984882541,12000,0.21767522855899,Urban
193,263784,65946,1405.7959,1,4,4,8,8121.678623110318,30000,0.11372941497588937,Urban
194,475932,67990.28571428571,1405.7959,1,7,4,8,14653.529973213463,36000,0.0756410579662641,Urban
195,133908,44636,1405.7959,1,3,4,7,4122.910188121556,12000,0.08961376467425397,Urban
196,272268,272268,1405.7959,1,1,5,10,8382.893561993904,12000,0.044074220988144036,Urban
197,163824,163824,1405.7959,1,1,5,10,5043.997660026479,9600,0.05859947260474656,Urban
198,298920,59784,1405.7959,1,5,4,8,9203.485328981804,36000,0.12043356081894821,Urban
199,218520,218520,1405.7959,1,1,5,10,6728.039656393362,4800,0.021965952773201538,Urban
200,445248,111312,1405.7959,1,4,5,9,13708.79645309277,9600,0.0215610176800345,Urban
201,217620,72540,1405.7959,1,3,4,8,6700.329443640507,7200,0.033085194375516956,Urban
202,323052,107684,1405.7959,1,3,5,9,9946.488500261708,24000,0.0742914453400691,Urban
203,1134636,567318,1273.976,1,2,5,10,34934.44995227686,20400,0.0179793343415862,Urban
204,512988,256494,1273.976,1,2,5,10,15794.451799624374,12000,0.02339236005520597,Urban
205,845328,281776,1273.976,1,3,5,10,26026.909695495553,38400,0.04542615410822781,Urban
206,1152192,576096,1273.976,1,2,5,10,35474.98383570923,16800,0.014580903182802866,Urban
207,596904,198968,1273.976,1,3,5,10,18378.152036700638,30000,0.05025933818503478,Urban
208,670896,335448,1273.976,1,2,5,10,20656.30099448875,12000,0.017886527867210417,Urban
209,236772,78924,1273.976,1,3,5,9,7290.002771021275,10800,0.04561350159647255,Urban
210,499932,166644,1273.976,1,3,5,10,15392.46897995628,14400,0.028803917332757254,Urban
211,466896,233448,1273.976,1,2,5,10,14375.31943717479,18000,0.038552482779891026,Urban
212,493104,123276,1273.976,1,4,5,10,15182.24083253795,10800,0.021902073396281516,Urban
213,483192,120798,828.6797,1,4,5,10,14877.059022753165,54000,0.11175681716584712,Urban
214,28632,28632,828.6797,1,1,3,5,881.5542350441824,0,0,Urban
215,351168,87792,828.6797,1,4,5,9,10812.15554666092,13200,0.037588846364133406,Urban
216,91404,91404,828.6797,1,1,5,9,2814.2492071800243,0,0,Urban
217,86868,86868,828.6797,1,1,5,9,2674.5897349056313,0,0,Urban
218,32796,16398,828.6797,1,2,2,3,1009.7601527140614,3600,0.10976948408342481,Urban
219,43068,43068,828.6797,1,1,4,7,1326.0260475999878,0,0,Urban
220,937200,104133.33333333333,828.6797,1,9,5,9,28855.568213307062,60000,0.06402048655569782,Urban
221,243816,121908,828.6797,1,2,5,10,7506.881369500293,3600,0.01476523279850379,Urban
222,53868,53868,828.6797,1,1,4,7,1658.548600634256,3480,0.06460236132768991,Urban
223,331368,165684,1130.0178,1,2,5,10,10202.530866098095,16200,0.04888824509306873,Urban
224,801156,160231.2,1130.0178,1,5,5,10,24666.892453585395,26400,0.03295238380540119,Urban
225,131052,131052,1130.0178,1,1,5,10,4034.9764463191605,8760,0.06684369563226811,Urban
226,197856,197856,1130.0178,1,1,5,10,6091.813171587795,3720,0.018801552644347404,Urban
227,395880,197940,1130.0178,1,2,5,10,12188.798916222791,14400,0.036374658987571994,Urban
228,602388,200796,1130.0178,1,3,5,10,18546.99959974137,9600,0.015936572441682104,Urban
229,174672,58224,1130.0178,1,3,4,8,5377.998091074233,16800,0.09618026930475405,Urban
230,465612,116403,1130.0178,1,4,5,10,14335.78620031405,7440,0.015978969614185202,Urban
231,271656,54331.2,1130.0178,1,5,4,7,8364.050617321962,20400,0.07509497305415673,Urban
232,132708,26541.6,1130.0178,1,5,3,5,4085.963237784415,9360,0.07053078940229678,Urban
233,160200,80100,1130.0178,1,2,5,9,4932.417870008313,16800,0.10486891385767791,Urban
234,165816,82908,480.1595,1,2,5,9,5105.329597586133,4800,0.028947749312490955,Urban
235,271392,67848,480.1595,1,4,4,8,8355.922288247792,7200,0.026529890343119915,Urban
236,238248,59562,480.1595,1,4,4,8,7335.4475199359595,12000,0.05036768409388536,Urban
237,1350636,225106,480.1595,1,6,5,10,41584.901012962226,48000,0.03553881282595755,Urban
238,695544,99363.42857142857,480.1595,1,7,5,9,21415.191354413622,24000,0.034505365584348364,Urban
239,382440,95610,480.1595,1,4,5,9,11774.993072446812,24000,0.06275494195167869,Urban
240,130848,130848,480.1595,1,1,5,10,4028.6954647618463,4800,0.036683785766691124,Urban
241,158880,79440,480.1595,1,2,5,9,4891.776224637459,7200,0.045317220543806644,Urban
242,303816,75954,480.1595,1,4,5,9,9354.22888635734,18000,0.059246385970455805,Urban
243,256980,256980,480.1595,1,1,5,10,7912.189414698729,5880,0.022881158066775625,Urban
244,810228,405114,480.1595,1,2,5,10,24946.21139813418,18000,0.022215968838401042,Urban
245,112152,112152,665.3633,1,1,5,9,3453.061978509191,12000,0.10699764605178685,Urban
246,677160,677160,665.3633,1,1,5,10,20849.164075248624,12000,0.0177210703526493,Urban
247,189756,63252,665.3633,1,3,4,8,5842.421256812095,21600,0.11383039271485487,Urban
248,236796,118398,665.3633,1,2,5,10,7290.741710028018,2400,0.010135306339634116,Urban
249,141264,141264,665.3633,1,1,5,10,4349.39499368823,6000,0.04247366632687734,Urban
250,180504,180504,665.3633,1,1,5,10,5557.560269712738,7200,0.03988831272437176,Urban
251,243360,121680,665.3633,1,2,5,10,7492.84152837218,3600,0.014792899408284023,Urban
252,389484,194742,364.3898,1,2,5,10,11991.87167092583,24000,0.06161998952460178,Urban
253,368844,92211,364.3898,1,4,5,9,11356.384125127006,18000,0.04880111917233302,Urban
254,1924548,274935.4285714286,364.3898,1,7,5,10,59255.14948120324,66000,0.03429376664027086,Urban
255,2047728,511932,364.3898,1,4,5,10,63047.753933310756,60000,0.02930076650805185,Urban
256,146724,73362,364.3898,1,2,4,8,4517.503617722221,14400,0.09814345301382187,Urban
257,786924,131154,364.3898,1,6,5,10,24228.701622586905,60000,0.07624624487244003,Urban
258,173856,173856,364.3898,1,1,5,10,5352.874164844977,6000,0.03451131971286582,Urban
259,18588,18588,364.3898,1,1,2,3,572.3082607223129,0,0,Urban
260,217332,217332,364.3898,1,1,5,10,6691.462175559593,6000,0.027607531334548064,Urban
261,59664,29832,711.4137,1,2,3,5,1837.0023707626467,6600,0.11061946902654868,Urban
