hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD_pc,expenditures,share_ely,Urban
1300030,10784.4,5392.2,1567.592209,2,2,2,4,2832.0378151260506,226.79999999999998,0.02103037721152776,Urban
1300031,19277.4,6425.8,1745.015882,2,3,3,5,3374.8949579831933,1080,0.0560241526346914,Urban
1300032,7628.16,1907.04,2017.042779,2,4,1,1,1001.5966386554622,420,0.055059149257488046,Urban
1300035,12839.28,2567.856,1073.871032,2,5,1,1,1348.6638655462186,446.40000000000003,0.03476830476475316,Urban
1300036,7044.6,1761.15,1935.720818,2,4,1,1,924.9737394957984,780,0.11072310706072735,Urban
1300037,16192.08,8096.04,1422.159738,2,2,3,6,4252.121848739496,1081.1999999999998,0.0667733855069886,Urban
1300038,27818.16,5563.632,1807.962755,2,5,2,4,2922.075630252101,1164,0.041843170073074566,Urban
1300041,3111.96,777.99,1550.398945,2,4,1,1,408.60819327731093,840,0.26992634866772064,Urban
1300043,26056.920000000002,13028.460000000001,1512.928201,2,2,5,9,6842.6785714285725,0,0,Urban
1300044,30442.079999999998,10147.359999999999,1586.740125,2,3,4,8,5329.495798319327,2400,0.07883823969978399,Urban
1300045,41389.8,20694.9,1487.390018,2,2,5,10,10869.170168067229,4260,0.10292390878912196,Urban
1300046,36946.56,12315.519999999999,1982.166414,2,3,4,8,6468.235294117647,3000,0.08119835784441096,Urban
1300047,13569.48,6784.74,1437.568923,2,2,3,5,3563.4138655462184,648,0.047754224922399384,Urban
1300048,13312.32,4437.44,1419.667384,2,3,2,3,2330.5882352941176,960,0.07211365111415591,Urban
1300049,12259.32,6129.66,1441.486122,1,2,3,5,3219.359243697479,672,0.054815438376679945,Rural
1300050,17074.8,17074.8,1138.609377,1,1,5,9,8967.857142857143,2520,0.14758591608686486,Rural
1300051,9347.16,4673.58,1087.485947,1,2,2,3,2454.611344537815,444,0.0475010591452377,Rural
1300052,52909.8,13227.45,757.3173185,1,4,5,9,6947.190126050421,1152,0.021772904074481476,Rural
1300055,18852.48,4713.12,1464.64077,2,4,2,3,2475.378151260504,1260,0.06683470821875954,Urban
1300056,9717.6,1943.52,1056.200321,2,5,1,1,1020.7563025210085,442.79999999999995,0.045566806618918244,Urban
1300057,11276.76,5638.38,1553.401221,2,2,2,4,2961.3340336134456,396,0.03511646962425377,Urban
1300058,25168.32,6292.08,1440.998383,2,4,3,5,3304.6638655462184,828,0.03289850097265133,Urban
1300059,15368.16,5122.72,1973.823394,2,3,2,4,2690.5042016806724,924,0.06012430896086454,Urban
1300060,3778.44,3778.44,1570.403726,2,1,1,2,1984.4747899159665,120,0.03175913869215867,Urban
1300061,10579.92,2644.98,2045.050233,2,4,1,1,1389.170168067227,412.79999999999995,0.03901730825941973,Urban
1300063,10467.72,3489.24,1317.415427,2,3,1,2,1832.5840336134454,1314,0.12552876844241154,Urban
1300066,9196.56,4598.28,1710.114835,2,2,2,3,2415.063025210084,924,0.10047235053106815,Urban
1300067,21430.68,3061.5257142857145,1923.609789,2,7,1,2,1607.9441776710685,764.4000000000001,0.0356684902205623,Urban
1300068,21508.56,5377.14,1943.7794490000001,2,4,2,4,2824.1281512605046,1090.8000000000002,0.050714692196967164,Urban
1300070,23219.88,5804.97,1366.728998,2,4,3,5,3048.8287815126055,960,0.04134388291412359,Urban
1300073,25829.88,8609.960000000001,1649.269307,2,3,4,7,4522.037815126051,1243.1999999999998,0.04813030490269408,Urban
1300074,32484.72,10828.24,1666.204162,2,3,4,8,5687.100840336135,1080,0.03324640015367225,Urban
1300075,21244.8,10622.4,1465.986973,2,2,4,8,5578.991596638655,550.8,0.025926344328965203,Urban
1300076,19885.44,6628.48,1197.311094,2,3,3,5,3481.344537815126,654,0.032888384667374725,Urban
1300077,36631.32,9157.83,2024.522738,2,4,4,7,4809.7846638655465,883.1999999999999,0.02411051526398721,Urban
