hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD_pc,expenditures,share_ely,Urban
1196073219,83402,13900.333333333334,2534,2,6,3,5,667.3868510338647,4800,0.057552576676818304,Rural
1196073220,89472,17894.4,2534,2,5,4,7,859.1511426925293,4800,0.0536480686695279,Rural
1196164815,115748,23149.6,4698,2,5,4,8,1111.465335125792,9600,0.08293879807858451,Rural
1196164820,99260,49630,4698,2,2,5,10,2382.850009602458,2800,0.028208744710860368,Rural
1196194414,87238,43619,2592,2,2,5,10,2094.248127520645,4300,0.0492904468236319,Rural
11963169513,91499,22874.75,1036,2,4,4,8,1098.2691569041674,0,0,Rural
11963169514,59983,14995.75,1036,2,4,3,6,719.9803149606299,0,0,Rural
11963169515,37209,12403,1036,2,3,3,5,595.4964470904551,0,0,Rural
119932531413,52851,17617,1486,1,3,4,7,845.8325331284809,1476,0.027927569960833287,Urban
119932531414,32665,16332.5,1486,1,2,3,6,784.1607451507587,1140,0.03489973978264197,Urban
119932531415,33400,8350,1486,1,4,2,3,400.90263107355486,492,0.014730538922155688,Urban
119932741613,57657,14414.25,1124,2,4,3,6,692.0611676589207,1200,0.020812737395285916,Rural
119932981614,10598,3532.6666666666665,969,2,3,1,1,169.61142052365406,168,0.015852047556142668,Rural
1206401813,136614,34153.5,3421,1,4,5,9,1639.7877856731322,4800,0.035135491238086874,Urban
1206401815,115507,38502.333333333336,3421,1,3,5,10,1848.5852378208822,3600,0.031166942263239458,Urban
1206401820,93481,46740.5,3421,1,2,5,10,2244.1184943345497,7200,0.07702099891956654,Urban
120646213,92031,23007.75,4711,2,4,4,8,1104.6547916266563,1704,0.018515500211885125,Rural
120646219,88585,29528.333333333332,4711,2,3,5,9,1417.7229370718903,1800,0.02031946717841621,Rural
120646220,133495,33373.75,4711,2,4,5,9,1602.350201651623,2160,0.01618038128768868,Rural
120658514,59144,29572,4256,2,2,5,9,1419.8194737852891,2580,0.043622345461923444,Rural
120658515,146673,36668.25,4256,2,4,5,10,1760.5266948338774,4080,0.02781698063038187,Rural
120658519,27335,13667.5,4256,2,2,3,5,656.2079892452468,1440,0.05267971465154564,Rural
1206671313,55524,9254,4314,2,6,2,3,444.30574227002114,2160,0.03890209639074994,Rural
1206671314,131574,32893.5,4314,2,4,5,9,1579.2922988285002,3700,0.028121057351756427,Rural
1206671315,65899,16474.75,4314,2,4,3,6,790.9904935663529,3000,0.045524211293039345,Rural
1206791913,119047,29761.75,3222,2,4,5,9,1428.9298060303438,3600,0.030240157248817692,Rural
1206791919,11453,11453,3222,2,1,2,4,549.8847705012483,540,0.04714921854535929,Rural
1210533871313,130592,43530.666666666664,815,1,3,5,10,2090.007041802701,1740,0.013323940210732663,Urban
1210533871314,72374,18093.5,815,1,4,4,7,868.7103898598041,2500,0.03454279161024677,Urban
1210533871315,62677,31338.5,815,1,2,5,9,1504.6331860956404,1200,0.019145779153437466,Urban
121053409514,68047,22682.333333333332,825,2,3,4,8,1089.030791882722,840,0.012344409011418579,Rural
121053409519,83422,16684.4,825,2,5,3,6,801.0562704052238,1800,0.021577042027282972,Rural
121073433513,190155,31692.5,535,1,6,5,9,1521.6295371615133,4000,0.021035471063080118,Urban
121073433515,140864,28172.8,535,1,5,5,9,1352.6406760130594,4000,0.028396183552930485,Urban
1210734391613,64018,32009,1014,2,2,5,9,1536.8254273093912,0,0,Rural
121083502115,13140,4380,546,2,3,1,1,210.29383522181678,0,0,Rural
121093549813,19658,6552.666666666667,830,1,3,1,2,314.6085397861853,360,0.018313154949638824,Urban
121103595513,151349,37837.25,864,1,4,5,10,1816.6530631841752,2500,0.016518113763553114,Urban
121103595514,136263,45421,864,1,3,5,10,2180.766276166699,2300,0.016879123459779984,Urban
121113598213,77716,19429,844,1,4,4,7,932.8308046859996,2180,0.02805085181944516,Urban
12401613,99298,24824.5,4900,1,4,4,8,1191.8811215671212,1920,0.019335736872847387,Urban
12401614,105288,26322,4900,1,4,5,9,1263.7795275590552,4476,0.042511967175746526,Urban
12401619,54469,13617.25,4900,1,4,3,5,653.7953716151335,1116,0.020488718353558904,Urban
125089981714,68165,13633,4706,2,5,3,5,654.5515652006914,1510,0.022152130858945206,Rural
12551113,96192,48096,3285,1,2,5,10,2309.1991549836757,4000,0.041583499667332005,Urban
12551114,149737,37434.25,3285,1,4,5,10,1797.304109852122,3600,0.024042153909855278,Urban
12551115,153432,51144,3285,1,3,5,10,2455.54061839831,8500,0.05539913446999322,Urban
12671613,207488,41497.6,1915,1,5,5,10,1992.394853082389,7640,0.03682140653917335,Urban
12671614,286752,47792,1915,1,6,5,10,2294.6034184751297,9600,0.03347840642785403,Urban
12671615,207972,69324,1915,1,3,5,10,3328.4040714422895,6540,0.031446540880503145,Urban
12689538513,100778,33592.666666666664,1716,1,3,5,9,1612.8608923884512,6504,0.06453789517553435,Urban
12689538514,150617,30123.4,1716,1,5,5,9,1446.2934511234878,7800,0.05178698287709887,Urban
12689547613,118843,39614.333333333336,4420,1,3,5,10,1901.9749055758275,8400,0.07068148734044075,Urban
12689547615,115534,19255.666666666668,4420,1,6,4,7,924.5086742206006,7200,0.0623193172572576,Urban
126895561914,209397,52349.25,3779,1,4,5,10,2513.4074323026693,7000,0.03342932324722895,Urban
126895561915,204912,51228,3779,1,4,5,10,2459.573650854619,4000,0.019520574685718748,Urban
126895561920,135407,33851.75,3779,1,4,5,9,1625.300076819666,6200,0.04578788393509937,Urban
126895622613,127884,25576.8,4635,1,5,4,8,1228.0007681966583,3800,0.02971442870101029,Urban
126895622619,126214,21035.666666666668,4635,1,6,4,8,1009.9705524614302,4000,0.031692205302105945,Urban
126898861313,68462,22820.666666666668,3495,1,3,4,8,1095.6724921579926,1970,0.028775086909526452,Urban
126898861314,69565,23188.333333333332,3495,1,3,4,8,1113.325011202868,2760,0.03967512398476245,Urban
126898861315,88673,44336.5,3495,1,2,5,10,2128.696946418283,4450,0.050184385325860184,Urban
