hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD_pc,expenditures,share_ely,Urban
206165,136513.96428571432,27302.792857142864,911.919982910156,2,5,4,7,392.0055256664541,3600,0.02637092856277654,Urban
206185,144584.78571428574,36146.196428571435,911.919982910156,2,4,5,9,518.9765313008289,3000,0.02074907110854876,Urban
206216,257195.39285714287,51439.078571428574,911.919982910156,2,5,5,10,738.5472666000743,0,0,Urban
208142,72620.5714285714,14524.11428571428,3115.60009765625,1,5,2,3,208.532990936184,0,0,Rural
209036,103578.07142857142,20715.614285714284,3115.60009765625,1,5,3,5,297.42873961886437,0,0,Rural
219084,199885.57142857142,66628.5238095238,3115.60009765625,1,3,5,10,956.6328850309955,1800,0.009005152233527897,Rural
219101,202007.78571428574,40401.55714285715,3115.60009765625,1,5,5,9,580.0737575967659,1920,0.00950458415853137,Rural
235136,143782.8571428571,23963.809523809516,3115.60009765625,1,6,3,6,344.0653781649344,0,0,Rural
235175,195931.46428571426,24491.433035714283,3115.60009765625,1,8,4,7,351.6408424487686,0,0,Rural
238083,135573.28571428568,27114.657142857137,3115.60009765625,1,5,4,7,389.304328028502,600,0.004425650649674979,Rural
243025,179890.71428571432,35978.14285714286,3115.60009765625,1,5,5,9,516.563667204739,5400,0.030018225351106022,Rural
243050,71108.7142857143,14221.74285714286,3115.60009765625,1,5,2,3,204.1916302767141,1080,0.01518801191736596,Rural
243101,171128.7142857143,57042.90476190476,3115.60009765625,1,3,5,10,819.005366364266,0,0,Rural
243112,155104.8571428572,25850.80952380953,3115.60009765625,1,6,4,7,371.15837303923286,3000,0.019341754057623686,Rural
243187,116623.14285714287,19437.190476190477,3115.60009765625,1,6,3,5,279.07350394392563,1800,0.015434329378388508,Rural
243210,164904.99999999997,41226.24999999999,3115.60009765625,1,4,5,9,591.9144567761201,0,0,Rural
243243,255606.0714285714,51121.214285714275,3115.60009765625,1,5,5,10,733.9834640226604,0,0,Rural
244026,50426.07142857143,50426.07142857143,3115.60009765625,1,1,5,9,724.0028059063508,1200,0.023797213742890937,Rural
244038,79810.71428571429,26603.57142857143,3115.60009765625,1,3,4,7,381.9663086127788,4200,0.05262451335749765,Rural
244043,151786.7857142857,37946.69642857143,3115.60009765625,1,4,5,9,544.8275844387059,1320,0.0086964092018174,Rural
244146,128311.92857142855,32077.982142857138,3115.60009765625,1,4,4,8,460.56629876749327,0,0,Rural
244166,55731.78571428571,18577.261904761905,3115.60009765625,1,3,3,5,266.726900669958,1080,0.019378528539112715,Rural
247023,116559.14285714283,14569.892857142853,911.919982910156,2,8,2,3,209.19026629446012,3000,0.025738006701686703,Urban
247042,149756,24959.333333333332,911.919982910156,2,6,4,7,358.35881826491885,0,0,Urban
